time,ip,attack_type,risk,confidence,action
2025-10-11 16:37:47,Unknown,Exploit,Critical,0.97,Immediately block source IP
2025-10-11 16:37:47,103.207.39.21,Exploit,Critical,0.97,Immediately block source IP
2025-10-11 16:37:47,45.67.89.123,Brute Force Attack,High,0.80,Block source IP address
2025-10-11 16:37:47,Unknown,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,198.51.100.42,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,198.51.100.42,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,198.51.100.42,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,198.51.100.42,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,198.51.100.42,SQL Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,Unknown,Command Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.55,Command Injection,Critical,0.97,Immediately block source IP
2025-10-11 16:37:47,203.0.113.55,Command Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.55,Command Injection,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,172.16.0.88,Cross-Site Scripting,High,0.75,Block source IP address
2025-10-11 16:37:47,172.16.0.88,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,172.16.0.88,Cross-Site Scripting,High,0.75,Block source IP address
2025-10-11 16:37:47,Unknown,DDoS,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,10.0.0.50,DDoS,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,Unknown,DDoS,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,Unknown,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,10.0.0.50,DDoS,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,10.0.0.100,DDoS,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,172.16.1.200,Port Scanning,Medium,0.50,Monitor source IP closely
2025-10-11 16:37:47,172.16.1.200,Port Scanning,Medium,0.50,Monitor source IP closely
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,192.168.50.25,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,185.220.101.42,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,Unknown,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.99,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.99,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.99,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.99,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,203.0.113.99,Exploit,Critical,0.98,Immediately block source IP
2025-10-11 16:37:47,198.51.100.150,Path Traversal,High,0.80,Block source IP address
2025-10-11 16:37:47,198.51.100.150,Path Traversal,High,0.80,Block source IP address
2025-10-11 16:37:47,10.10.10.75,Exploit,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,192.168.100.50,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,192.168.100.50,Malware,Critical,0.98,Immediately block source IP
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,192.168.100.50,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,192.168.100.0,Malware,Critical,0.98,Immediately block source IP
2025-10-11 16:37:47,192.168.75.30,Unauthorized Access,High,0.75,Block source IP address
2025-10-11 16:37:47,192.168.75.30,Privilege Escalation,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,185.220.101.88,Data Exfiltration,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,192.168.80.15,Unauthorized Access,High,0.75,Block source IP address
2025-10-11 16:37:47,Unknown,XXE,High,0.80,Block source IP address
2025-10-11 16:37:47,203.0.113.200,XXE,High,0.80,Block source IP address
2025-10-11 16:37:47,203.0.113.200,Exploit,Critical,0.98,Immediately block source IP
2025-10-11 16:37:47,172.16.5.99,Unauthorized Access,High,0.75,Block source IP address
2025-10-11 16:37:47,Unknown,Fuzzing,Medium,0.60,Monitor source IP closely
2025-10-11 16:37:47,198.51.100.250,Exploit,Critical,0.87,Immediately block source IP
2025-10-11 16:37:47,198.51.100.250,Fuzzing,Medium,0.60,Monitor source IP closely
2025-10-11 16:37:47,185.220.101.150,Port Scanning,Medium,0.50,Monitor source IP closely
2025-10-11 16:37:47,Unknown,Malware,Critical,0.95,Immediately block source IP
2025-10-11 16:37:47,185.220.101.150,Data Exfiltration,Critical,0.90,Immediately block source IP
2025-10-11 16:37:47,192.168.90.40,Unauthorized Access,High,0.75,Block source IP address
